id,name,camo_url,category,mode
1,Foliage,/assets/camo/foliage.webp,military,campaign
2,Desert,/assets/camo/desert.webp,military,campaign
3,City Digital,/assets/camo/city_digital.webp,military,campaign
4,Pine,/assets/camo/pine.webp,military,campaign
5,Forest,/assets/camo/forest.webp,military,campaign
6,Sludge,/assets/camo/sludge.webp,military,campaign
7,Plateau,/assets/camo/plateau.webp,military,campaign
8,Nocturne,/assets/camo/nocturne.webp,military,campaign
9,Topaz Snake,/assets/camo/topaz_snake.webp,military,campaign
10,Cinder,/assets/camo/cinder.webp,special,campaign
11,Caiman,/assets/camo/caiman.webp,special,campaign
12,Network,/assets/camo/network.webp,special,campaign
13,Molten Gold,/assets/camo/molten_gold.webp,mastery,campaign
14,Moonstone,/assets/camo/moonstone.webp,mastery,campaign
15,Chroma Flux,/assets/camo/chroma_flux.webp,mastery,campaign
16,Genesis,/assets/camo/genesis.webp,mastery,campaign
17,Underbrush,/assets/camo/underbrush.webp,military,multiplayer
18,Woodland,/assets/camo/woodland.webp,military,multiplayer
19,Slate Digital,/assets/camo/slate_digital.webp,military,multiplayer
20,Redwood,/assets/camo/redwood.webp,military,multiplayer
21,Poison,/assets/camo/poison.webp,military,multiplayer
22,Toxic,/assets/camo/toxic.webp,military,multiplayer
23,Mountain,/assets/camo/mountain.webp,military,multiplayer
24,Stalker,/assets/camo/stalker.webp,military,multiplayer
25,Ruby Snake,/assets/camo/ruby_snake.webp,military,multiplayer
26,Diamondback,/assets/camo/diamondback.webp,special,multiplayer
27,Raptor,/assets/camo/raptor.webp,special,multiplayer
28,Mainframe,/assets/camo/mainframe.webp,special,multiplayer
29,Shattered Gold,/assets/camo/shattered_gold.webp,mastery,multiplayer
30,Arclight,/assets/camo/arclight.webp,mastery,multiplayer
31,Tempest,/assets/camo/tempest.webp,mastery,multiplayer
32,Singularity,/assets/camo/singularity.webp,mastery,multiplayer
33,Char,/assets/camo/char.webp,military,zombie
34,Tundra,/assets/camo/tundra.webp,military,zombie
35,Flood Digital,/assets/camo/flood_digital.webp,military,zombie
36,Cedar,/assets/camo/cedar.webp,military,zombie
37,Marshland,/assets/camo/marshland.webp,military,zombie
38,Mire,/assets/camo/mire.webp,military,zombie
39,Ravine,/assets/camo/ravine.webp,military,zombie
40,Skulk,/assets/camo/skulk.webp,military,zombie
41,Emerald Snake,/assets/camo/emerald_snake.webp,military,zombie
42,Mutilate,/assets/camo/mutilate.webp,special,zombie
43,Slither,/assets/camo/slither.webp,special,zombie
44,Pathfinder,/assets/camo/pathfinder.webp,special,zombie
45,Golden Dragon,/assets/camo/golden_dragon.webp,mastery,zombie
46,Bloodstone,/assets/camo/bloodstone.webp,mastery,zombie
47,Doomsteel,/assets/camo/doomsteel.webp,mastery,zombie
48,Infestation,/assets/camo/infestation.webp,mastery,zombie
49,Graffiti,/assets/camo/graffiti.webp,prestige1,prestige
50,Aces,/assets/camo/aces.webp,prestige2,prestige
51,Cobalt Circuit,/assets/camo/cobalt_circuit.webp,prestigem1,prestige
52,Vermilion Cypher,/assets/camo/vermilion_cypher.webp,prestigem2,prestige
53,Violet Network,/assets/camo/violet_network.webp,prestigem3,prestige
54,Obscured,/assets/camo/obscured.webp,prestigem,prestige
55,Skulls,/assets/camo/skulls.webp,prestige1,prestige
56,Dia De Muertos,/assets/camo/dia_de_muertos.webp,prestige2,prestige
57,Afterlife,/assets/camo/afterlife.webp,prestigem,prestige
